分类: 📺央视频道, 名称: CCTV-1, 有效: 6, IPv4: 57, IPv6: 0, 最小延迟: 394 ms, 最高速率: 7.36 M/s, 平均速率: 3.54 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 67, IPv6: 0, 最小延迟: 442 ms, 最高速率: 4.01 M/s, 平均速率: 3.22 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 398 ms, 最高速率: 4.23 M/s, 平均速率: 3.44 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 352 ms, 最高速率: 4.11 M/s, 平均速率: 2.33 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-5+, 有效: 5, IPv4: 41, IPv6: 0, 最小延迟: 496 ms, 最高速率: 7.00 M/s, 平均速率: 4.09 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 81, IPv6: 0, 最小延迟: 422 ms, 最高速率: 7.68 M/s, 平均速率: 3.55 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-8, 有效: 5, IPv4: 67, IPv6: 0, 最小延迟: 470 ms, 最高速率: 7.39 M/s, 平均速率: 2.43 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-7, 有效: 6, IPv4: 63, IPv6: 0, 最小延迟: 547 ms, 最高速率: 20.38 M/s, 平均速率: 7.49 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 58, IPv6: 0, 最小延迟: 335 ms, 最高速率: 6.37 M/s, 平均速率: 4.29 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-9, 有效: 6, IPv4: 64, IPv6: 0, 最小延迟: 374 ms, 最高速率: 19.87 M/s, 平均速率: 6.56 M/s, 最高分辨率: 3840x2160
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 61, IPv6: 0, 最小延迟: 550 ms, 最高速率: 10.29 M/s, 平均速率: 4.52 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 60, IPv6: 0, 最小延迟: 380 ms, 最高速率: 6.10 M/s, 平均速率: 3.98 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 66, IPv6: 0, 最小延迟: 366 ms, 最高速率: 7.42 M/s, 平均速率: 4.87 M/s, 最高分辨率: 1920x1080
分类: 📺央视频道, 名称: CCTV-12, 有效: 5, IPv4: 60, IPv6: 0, 最小延迟: 390 ms, 最高速率: 3.62 M/s, 平均速率: 2.63 M/s, 最高分辨率: 3840x2160
